origin,destination,count,ori_lat,ori_long,destination_lat,destination_long
KUALA LUMPUR,ALOR SETAR,222887,2.745579958,101.7099991,6.189670086,100.3980026
KUALA LUMPUR,JOHOR BAHRU,349340,2.745579958,101.7099991,1.64131,103.669998
KUALA LUMPUR,KOTA BHARU,577264,2.745579958,101.7099991,6.16685009,102.2929993
KUALA LUMPUR,KOTA KINABALU,1360597,2.745579958,101.7099991,5.937210083,116.0510025
KUALA LUMPUR,KUALA TERENGGANU,229815,2.745579958,101.7099991,5.382639885,103.1029968
KUALA LUMPUR,KUANTAN,70644,2.745579958,101.7099991,3.77538991,103.2089996
KUALA LUMPUR,KUCHING,1157553,2.745579958,101.7099991,1.484699965,110.3470001
KUALA LUMPUR,LABUAN,125803,2.745579958,101.7099991,5.300680161,115.25
KUALA LUMPUR,LANGKAWI,867836,2.745579958,101.7099991,6.329730034,99.72869873
KUALA LUMPUR,MIRI,411692,2.745579958,101.7099991,4.32201004,113.9869995
KUALA LUMPUR,PENANG,871039,2.745579958,101.7099991,5.297140121,100.2770004
KUALA LUMPUR,SIBU,332950,2.745579958,101.7099991,2.261600018,111.9850006
KUALA LUMPUR,TAWAU,421115,2.745579958,101.7099991,4.320159912,118.1279984
KUALA LUMPUR,MUKAH,283,2.745579958,101.7099991,2.906389952,112.0800018
JOHOR BAHRU,SUBANG,86240,1.64131,103.669998,3.130579948,101.5490036
JOHOR BAHRU,PENANG,323524,1.64131,103.669998,5.297140121,100.2770004
JOHOR BAHRU,ALOR SETAR,25608,1.64131,103.669998,6.189670086,100.3980026
JOHOR BAHRU,LANGKAWI,32092,1.64131,103.669998,6.329730034,99.72869873
JOHOR BAHRU,IPOH,58464,1.64131,103.669998,4.567969799,101.0920029
JOHOR BAHRU,SIBU,54125,1.64131,103.669998,2.261600018,111.9850006
JOHOR BAHRU,TAWAU,33462,1.64131,103.669998,4.320159912,118.1279984
JOHOR BAHRU,KOTA BHARU,21646,1.64131,103.669998,6.16685009,102.2929993
PENANG,LANGKAWI,183869,5.297140121,100.2770004,6.329730034,99.72869873
KOTA KINABALU,JOHOR BAHRU,123215,5.937210083,116.0510025,1.64131,103.669998
KOTA KINABALU,TAWAU,388144,5.937210083,116.0510025,4.320159912,118.1279984
KOTA KINABALU,LABUAN,61681,5.937210083,116.0510025,5.300680161,115.25
KUALA LUMPUR,LAHAD DATU,68921,2.745579958,101.7099991,5.032249928,118.3239975
KOTA KINABALU,MIRI,100836,5.937210083,116.0510025,4.32201004,113.9869995
KOTA KINABALU,SIBU,55227,5.937210083,116.0510025,2.261600018,111.9850006
KOTA KINABALU,KUCHING,229819,5.937210083,116.0510025,1.484699965,110.3470001
KUCHING,JOHOR BAHRU,160533,1.484699965,110.3470001,1.64131,103.669998
KUCHING,PENANG,98616,1.484699965,110.3470001,5.297140121,100.2770004
BINTULU,MIRI,9507,3.123850107,113.0199966,4.32201004,113.9869995
MIRI,LABUAN,46040,4.32201004,113.9869995,5.300680161,115.25
KOTA KINABALU,SANDAKAN,235281,5.937210083,116.0510025,5.900899887,118.0589981
KOTA KINABALU,BINTULU,32840,5.937210083,116.0510025,3.123850107,113.0199966
LIMBANG,KOTA KINABALU,1517,4.808300018,115.0100021,5.937210083,116.0510025
SANDAKAN,TAWAU,12651,5.900899887,118.0589981,4.320159912,118.1279984
KUCHING,BINTULU,195708,1.484699965,110.3470001,3.123850107,113.0199966
KUCHING,MIRI,312658,1.484699965,110.3470001,4.32201004,113.9869995
KUCHING,SIBU,256206,1.484699965,110.3470001,2.261600018,111.9850006
